case,Qtotal_Lmin,tray_dp_kPa,q_min_Lmin,Mflow_percent,Tmax_C,Tspread_C,thermal_margin_C,pump_power_W,flow_target_pass,thermal_pass,maldistribution_pass,ROM_valid,overall_status
Nominal,9.16044233623741,11.43737716372041,1.14381841000719,0.34172256756998537,72.72318687787222,0.04121263370126371,12.276813122127777,3.492381132868646,True,True,True,True,PASS
Hot coolant,9.16044233623741,11.43737716372041,1.14381841000719,0.34172256756998537,77.72318687787222,0.04121263370126371,7.276813122127777,3.492381132868646,True,True,True,True,PASS
Uneven power,9.16044233623741,11.43737716372041,1.14381841000719,0.34172256756998537,72.72318687787222,8.577607482535456,12.276813122127777,3.492381132868646,True,True,True,True,PASS
Restricted branch,9.063188625976503,11.618225707140283,0.9533686761295351,18.322623255106645,75.05442162684864,2.509955375670401,9.945578373151363,3.5099390360993876,True,True,False,True,FAIL
Weak pump,8.20561493256044,9.847031906521027,1.0246248785861887,0.33260601221804975,74.09955093924837,0.04298768778252793,10.900449060751626,2.693365068451601,False,True,True,True,FAIL
Combined stress,8.101640741190208,9.976792140358702,0.8499359408786753,18.574981097351674,81.67001701387753,11.52459854085589,3.3299829861224737,2.6942795223572107,False,True,False,True,FAIL
