branch,flow_Lmin,Rth_K_W,Tout_C,Tbulk_C,Tbase_C,Tdevice_est_C,thermal_status
1,1.0824909204706121,0.026217306592745196,39.975089737246385,34.98754486862319,54.65052481318209,73.40052481318209,PASS
2,1.0813116225705064,0.0262282342022212,39.985968749489444,34.99298437474472,54.66416002641063,73.41416002641063,PASS
3,1.0804074577521285,0.026236623537141245,39.994325746246474,34.99716287312324,54.67463052597917,73.42463052597917,PASS
4,1.0797462980726775,0.026242764283095098,40.000445559038155,35.00022277951908,54.682295991840405,73.4322959918404,PASS
5,1.079294715686821,0.02624696149671683,40.004629796206686,35.00231489810334,54.68753602064096,73.43753602064096,PASS
6,1.0790175883021933,0.02624953844777625,40.0071993158509,35.00359965792545,54.69075349375764,73.44075349375764,PASS
7,1.0788825152469246,0.026250794796234486,40.0084521890481,35.00422609452405,54.692322191699915,73.44232219169992,PASS
8,1.0788488818976667,0.026251107662285028,40.008764204728564,35.00438210236428,54.69271284907805,73.44271284907805,PASS
