flow_Lmin,system_dp_kPa,pump_dp_kPa,maldistribution_percent,min_branch_flow_Lmin,max_branch_flow_Lmin
4.5,4.556682113176264,17.933673469387756,0.277566633662533,0.5620195635559785,0.5635808758703302
4.662068965517241,4.758158731501265,17.782154383751124,0.28182555817805854,0.582251959304699,0.5838943220402883
4.824137931034483,4.962230629218819,17.625274818607586,0.2859534646140893,0.6024838428505767,0.6042081915445211
4.986206896551724,5.168897134617522,17.463034773957148,0.28991287805033505,0.6227154388130947,0.6245223958030118
5.1482758620689655,5.378157433517545,17.2954342497998,0.29366802987646423,0.6429469669758389,0.6448368220129318
5.310344827586206,5.590010643982929,17.122473246135552,0.2971743800285005,0.6631786903044218,0.6651513133442661
5.472413793103448,5.804456988430258,16.944151762964403,0.30039286595910997,0.6834108613976069,0.6854657039763875
5.634482758620689,6.021500468923015,16.760469800286344,0.3033073942781901,0.7036436374756144,0.7057798628301427
5.796551724137931,6.241154400964684,16.571427358101385,0.3059245395482168,0.7238770511476876,0.7260936854191555
5.958620689655172,6.463453397155866,16.377024436409524,0.3082507474714979,0.7441110663468907,0.7464070029487474
6.120689655172414,6.6884766004848455,16.177261035210755,0.3102647731175012,0.764345661158294,0.7667194541422749
6.282758620689655,6.9163749801518115,15.972137154505084,0.31193177976134107,0.7845808084002114,0.7870305484981647
6.444827586206896,7.147352900058289,15.761652794292509,0.31331524088389734,0.8048162231418909,0.8073403015264254
6.606896551724137,7.381550760400308,15.545807954573032,0.31465038621858876,0.825051219542032,0.8276497977316648
6.768965517241378,7.618944959339739,15.324602635346649,0.3161450199015444,0.845285249287166,0.8479602177098674
6.93103448275862,7.859409967698802,15.098036836613362,0.3178200045438144,0.8655183076069345,0.8682718343704391
7.093103448275862,8.102822236861307,14.866110558373173,0.31960728823924883,0.8857506422670937,0.8885844017149735
7.255172413793103,8.34909045139359,14.628823800626076,0.32145115772633126,0.9059824613494183,0.9088976908143157
7.417241379310344,8.598142513047954,14.386176563372079,0.3233261709899482,0.9262138822246404,0.9292116175427412
7.579310344827586,8.849909598353133,14.13816884661118,0.32522467924650234,0.946444970228925,0.9495261936986829
7.741379310344827,9.104318770763705,13.884800650343369,0.32714269423146763,0.9666757818464037,0.9698414514522211
7.903448275862068,9.361294478509182,13.626071974568664,0.3290697636279145,0.9869063948029978,0.990157377122977
8.06551724137931,9.6207665651951,13.361982819287054,0.33098437374306244,1.0071369202327332,1.010473870449048
8.22758620689655,9.882680611654713,13.092533184498533,0.3328560250395353,1.0273674933980839,1.030790745448706
8.389655172413793,10.147005528819632,12.817723070203112,0.334652673053735,1.0475982473021945,1.0511077729640037
8.551724137931034,10.413734968208141,12.537552476400789,0.3363491594075524,1.0678292836720802,1.071424740203678
8.713793103448275,10.682882686242252,12.252021403091558,0.33793213016714735,1.088060656545424,1.0917414948770288
8.875862068965517,10.954474812023868,11.961129850275425,0.3394000117338469,1.1082923734937267,1.1120579581066703
9.037931034482757,11.228542326757228,11.664877817952393,0.3407597093207025,1.1285244087057822,1.1323741121459958
9.2,11.50511565411003,11.363265306122447,0.3420225393275993,1.148756718897005,1.1526899780992723
