restriction_factor,normal_flow_Lmin,restricted_flow_Lmin,pressure_drop_kPa,maldistribution_percent,restricted_Rth_K_W,restricted_Tout_C,restricted_Tbulk_C,restricted_Tbase_C,restricted_Tdevice_est_C,flow_status,maldistribution_status,thermal_status,overall_status
1.0,0.65,0.65,5.3698554534365,0.0,0.03186939870941422,46.612221648382764,38.30611082419138,62.208159856252045,80.95815985625205,PASS,PASS,PASS,PASS
1.1,0.6664445379312451,0.6171109241375098,5.539376870998279,7.589786737497746,0.032501486224768304,47.49757401643843,38.74878700821921,63.12490167679544,81.87490167679545,LOW_FLOW,PASS,PASS,FAIL
1.2,0.6811165312501919,0.5877669374996162,5.6920282247698655,14.361475961627034,0.03310594940355805,48.37113213169778,39.18556606584889,64.01502811851742,82.76502811851742,LOW_FLOW,FAIL,PASS,FAIL
1.3,0.6943085793939622,0.5613828412120754,5.830411072819002,20.450113566444124,0.03368607590403534,49.234545979594024,39.617272989797016,64.88182991782352,83.63182991782352,LOW_FLOW,FAIL,PASS,FAIL
1.4,0.706249302738017,0.5375013945239661,5.956589625500724,25.961216648315528,0.03424454607267701,50.089146151912615,40.04457307595631,65.72798263046407,84.47798263046407,LOW_FLOW,FAIL,PASS,FAIL
